table_name,ordinal_position,column_name,data_type,is_nullable,column_default
prompt_definitions,4,system_prompt,text,YES,null
prompt_definitions,5,user_prompt_template,text,NO,null
prompt_definitions,6,is_active,boolean,NO,false
prompt_definitions,7,created_at,timestamp with time zone,NO,now()
prompt_definitions,8,created_by,uuid,YES,null
prompt_definitions,9,change_note,text,YES,null
prompt_variables,1,id,uuid,NO,gen_random_uuid()
prompt_variables,2,name,text,NO,null
prompt_variables,3,description,text,NO,null
prompt_variables,4,source,text,NO,null
prompt_variables,5,created_at,timestamp with time zone,NO,now()
task_runs,1,id,uuid,NO,uuid_generate_v4()
task_runs,2,user_id,uuid,NO,null
task_runs,3,business_id,uuid,YES,null
task_runs,4,task_id,uuid,NO,null
task_runs,5,status,USER-DEFINED,NO,'queued'::task_run_status
task_runs,6,started_at,timestamp with time zone,NO,now()
task_runs,7,completed_at,timestamp with time zone,YES,null
task_runs,8,output_data,jsonb,YES,null
task_runs,9,paid_amount_cents,integer,NO,0
task_runs,10,error,text,YES,null
task_runs,11,state,USER-DEFINED,NO,'proposed'::task_state
task_runs,12,proposed_at,timestamp with time zone,YES,now()
task_runs,13,failed_at,timestamp with time zone,YES,null
task_runs,14,work_log,jsonb,NO,'[]'::jsonb
task_runs,15,is_current,boolean,NO,true
task_runs,16,retry_count,integer,NO,0
task_runs,17,max_retries,integer,NO,3
task_runs,18,config,jsonb,YES,null
task_runs,19,run_id,uuid,YES,null
task_runs,20,harness_run_id,uuid,YES,null
task_runs,21,input_tokens,integer,YES,null
task_runs,22,output_tokens,integer,YES,null
task_runs,23,is_harness,boolean,NO,false
task_runs,24,model,text,YES,null
tasks,1,id,uuid,NO,uuid_generate_v4()
tasks,2,slug,text,NO,null
tasks,3,name,text,NO,null
tasks,4,description_short,text,YES,null
tasks,5,description_long,text,YES,null
tasks,6,area,USER-DEFINED,NO,null
tasks,7,is_default,boolean,NO,false
tasks,8,plan_required,USER-DEFINED,NO,'free'::task_plan_required
tasks,9,visibility,USER-DEFINED,NO,'always_visible'::task_visibility
tasks,10,price_cents,integer,NO,0
tasks,11,prompt_template,text,YES,null
tasks,12,output_type,text,NO,'document'::text
tasks,13,inputs_required,jsonb,NO,'{}'::jsonb
tasks,14,creator_id,uuid,YES,null
tasks,15,status,USER-DEFINED,NO,'active'::task_status
tasks,16,created_at,timestamp with time zone,NO,now()
tasks,17,updated_at,timestamp with time zone,NO,now()
tasks,18,execution_order,integer,YES,99
tasks,19,surface,text,NO,'builder'::text
tasks,20,token_cost,integer,NO,0
tasks,21,lifecycle_phase_id,uuid,YES,null
tasks,22,is_regeneratable,boolean,NO,true
tasks,23,asset_user_editable,boolean,NO,false
tasks,24,kind,text,NO,'manual'::text
tasks,25,config_page_path,text,YES,null
tasks,26,is_featured,boolean,NO,false
tasks,27,text_controllable,boolean,NO,false
tasks,28,is_long_running,boolean,NO,false
tasks,29,progress_verb,text,YES,null
token_balances,1,id,uuid,NO,uuid_generate_v4()
token_balances,2,business_id,uuid,NO,null
token_balances,3,user_id,uuid,NO,null
token_balances,4,period_tokens_included,integer,NO,30
token_balances,5,period_tokens_used,integer,NO,0
token_balances,6,period_started_at,timestamp with time zone,NO,now()
token_balances,7,period_ends_at,timestamp with time zone,YES,null
token_balances,8,topup_tokens_remaining,integer,NO,0
token_balances,9,lifetime_tokens_used,integer,NO,0
token_balances,10,lifetime_topups_purchased,integer,NO,0
token_balances,11,created_at,timestamp with time zone,NO,now()
token_balances,12,updated_at,timestamp with time zone,NO,now()
token_transactions,1,id,uuid,NO,uuid_generate_v4()
token_transactions,2,business_id,uuid,NO,null
token_transactions,3,user_id,uuid,NO,null
token_transactions,4,kind,text,NO,null
token_transactions,5,tokens,integer,NO,null
token_transactions,6,task_slug,text,YES,null
token_transactions,7,task_run_id,uuid,YES,null
token_transactions,8,topup_id,uuid,YES,null
token_transactions,9,description,text,YES,null
token_transactions,10,metadata,jsonb,NO,'{}'::jsonb
token_transactions,11,created_at,timestamp with time zone,NO,now()
